timestamp,"date (UTC)","NO2 (ppb)","VOC (ppb)","pm 10 (ug/m3)","pm 2.5 (ug/m3)","NO2 (Plume AQI)","VOC (Plume AQI)","pm 10 (Plume AQI)","pm 2.5 (Plume AQI)"
1645582975,"2022-02-23 02:22:55",150,153,12.426245,11.444641,120,12,12,23
1645583035,"2022-02-23 02:23:55",154,156,28.583324,11.78247,122,12,29,24
1645583095,"2022-02-23 02:24:55",152,153,12.78247,10.347959,121,12,13,21
1645583155,"2022-02-23 02:25:55",150,154,15.177307,13.488945,120,12,15,27
1645583215,"2022-02-23 02:26:55",152,151,19.982615,10.479512,121,12,20,21
1645583275,"2022-02-23 02:27:55",150,152,16.325539,9.843581,120,12,16,20
1645583335,"2022-02-23 02:28:55",152,156,37.01321,12.898592,121,12,37,26
1645583395,"2022-02-23 02:29:55",150,153,36.59156,10.195836,120,12,37,20
1645583455,"2022-02-23 02:30:55",150,152,11.581887,7.3397794,120,12,12,15
1645583515,"2022-02-23 02:31:55",148,151,14.33155,13.153329,119,12,14,26
1645583575,"2022-02-23 02:32:55",105,153,68.78997,16.182169,99,12,81,32
1645583635,"2022-02-23 02:33:55",109,150,24.429428,9.87662,101,12,24,20
1645583695,"2022-02-23 02:34:55",107,154,23.855618,9.383882,100,12,24,19
1645583755,"2022-02-23 02:35:55",107,156,10.383882,10.400479,100,12,10,21
1645583815,"2022-02-23 02:36:55",96,153,29.261269,9.911844,92,12,29,20
1645583875,"2022-02-23 02:37:55",96,155,19.596844,9.538576,92,12,20,19
1645583935,"2022-02-23 02:38:55",98,153,46.162918,11.864104,94,12,46,24
1645583995,"2022-02-23 02:39:55",96,153,39.374268,8.337608,92,12,39,17
1645584055,"2022-02-23 02:40:55",98,154,14.001733,11.8876,94,12,14,24
1645584115,"2022-02-23 02:41:55",94,154,39.57878,12.881042,90,12,40,26
1645584175,"2022-02-23 02:42:55",96,149,20.256,9.05477,92,12,20,18
1645584235,"2022-02-23 02:43:55",94,153,21.9717,11.6564665,90,12,22,23
1645584295,"2022-02-23 02:44:55",96,155,39.291584,11.169069,92,12,39,22
1645584355,"2022-02-23 02:45:55",98,151,23.184074,9.365344,94,12,23,19
1645584415,"2022-02-23 02:46:55",96,153,23.767906,8.396055,92,12,24,17
1645584475,"2022-02-23 02:47:55",105,152,9.396055,7.4209824,99,12,9,15
1645584535,"2022-02-23 02:48:55",107,153,19.54166,9.470273,100,12,20,19
1645584595,"2022-02-23 02:49:55",109,150,18.493704,11.338977,101,12,18,23
1645584655,"2022-02-23 02:50:55",111,150,15.972294,3.3930674,102,12,16,7
1645584715,"2022-02-23 02:51:55",115,155,19.602203,6.2736635,104,12,20,13
1645584775,"2022-02-23 02:52:55",113,154,33.623573,11.678122,103,12,34,23
1645584835,"2022-02-23 02:53:55",115,151,13.681008,7.849959,104,12,14,16
1645584895,"2022-02-23 02:54:55",113,151,16.304773,11.066795,103,12,16,22
1645584955,"2022-02-23 02:55:55",119,149,28.16193,13.342095,106,12,28,27
1645585015,"2022-02-23 02:56:55",115,153,27.113827,12.848941,104,12,27,26
1645585075,"2022-02-23 02:57:55",113,155,47.764183,15.902186,103,12,48,32
1645585135,"2022-02-23 02:58:55",119,148,28.475357,8.962691,106,12,28,18
1645585195,"2022-02-23 02:59:55",115,151,26.598995,14.076493,104,12,27,28
1645585255,"2022-02-23 03:00:55",117,154,30.384308,8.865184,105,12,30,18
1645585315,"2022-02-23 03:01:55",117,153,15.323609,10.385031,105,12,15,21
1645585375,"2022-02-23 03:02:55",121,153,11.385031,8.705142,107,12,11,17
1645585435,"2022-02-23 03:03:55",115,154,9.705142,9.612635,104,12,10,19
1645585495,"2022-02-23 03:04:55",117,157,10.612635,12.900296,105,13,11,26
1645585555,"2022-02-23 03:05:55",117,155,18.699657,10.874579,105,12,19,22
1645585615,"2022-02-23 03:06:55",117,156,48.18613,12.17899,105,12,48,24
1645585675,"2022-02-23 03:07:55",111,152,13.17899,9.442333,102,12,13,19
1645585735,"2022-02-23 03:08:55",111,156,11.344001,9.380978,102,12,11,19
1645585795,"2022-02-23 03:09:55",109,156,15.082289,6.9464417,101,12,15,14
1645585855,"2022-02-23 03:10:55",104,155,22.746164,8.691834,99,12,23,17
1645585915,"2022-02-23 03:11:55",107,154,15.272963,9.439948,100,12,15,19
1645585975,"2022-02-23 03:12:55",107,157,22.343197,5.901107,100,13,22,12
1645586035,"2022-02-23 03:13:55",105,153,15.07888,6.4259343,99,12,15,13
1645586095,"2022-02-23 03:14:55",107,157,18.053581,6.248583,100,13,18,12
1645586155,"2022-02-23 03:15:55",105,155,19.380367,7.672722,99,12,19,15
1645586215,"2022-02-23 03:16:55",100,156,8.672722,5.773405,95,12,9,12
1645586275,"2022-02-23 03:17:55",100,153,21.825182,7.5423074,95,12,22,15
1645586335,"2022-02-23 03:18:55",102,152,17.512949,9.063585,97,12,18,18
1645586395,"2022-02-23 03:19:55",100,153,14.484623,8.028474,95,12,14,16
1645586455,"2022-02-23 03:20:55",100,153,24.856255,8.200591,95,12,25,16
1645586515,"2022-02-23 03:21:55",96,152,24.53191,9.317826,92,12,25,19
1645586575,"2022-02-23 03:22:55",98,154,29.098663,8.98244,94,12,29,18
1645586635,"2022-02-23 03:23:55",100,155,15.4256115,6.856825,95,12,15,14
1645586695,"2022-02-23 03:24:55",102,155,18.71379,6.752255,97,12,19,14
1645586755,"2022-02-23 03:25:55",102,153,14.613571,8.430046,97,12,15,17
1645586815,"2022-02-23 03:26:55",102,152,11.81102,7.0187097,97,12,12,14
1645586875,"2022-02-23 03:27:55",98,153,10.984625,5.687487,94,12,11,11
