timestamp,latitudine,longitudine,PM10 (ug/m3)
1645613956,45.070480,7.692356,13.371780
1645614048,45.070229,7.691932,13.371780
1645614048,45.070229,7.691932,14.891165
1645614238,45.070580,7.692229,11.251623
1645614238,45.070580,7.692229,17.861494
1645614415,45.070137,7.691936,23.193924
1645614455,45.070412,7.692018,4.238985
1645614782,45.070438,7.692409,17.168217
1645614782,45.070438,7.692409,17.505287
1645614831,45.070381,7.692001,17.505287
1645614896,45.070271,7.692357,23.973059
1645614896,45.070271,7.692357,15.390510
1645614923,45.070499,7.692058,15.390510
1645615032,45.070198,7.691991,19.300835
1645615032,45.070198,7.691991,17.151737
1645615079,45.070473,7.692000,17.151737
1645615079,45.070473,7.692000,9.380740
1645615496,45.070194,7.692338,9.573373
1645615496,45.070194,7.692338,7.666048
1645615517,45.070370,7.691951,7.666048
1645615589,45.070419,7.692344,7.666048
1645615589,45.070419,7.692344,13.720574
1645615704,45.070282,7.691941,17.614655
1645615704,45.070282,7.691941,3.755209
1645616013,45.070568,7.692219,15.533027
1645616013,45.070568,7.692219,15.533027
1645616130,45.070332,7.691878,9.180142
1645616130,45.070332,7.691878,8.913238
1645616474,45.070599,7.691992,7.572855
1645616474,45.070599,7.691992,14.682160
1645616527,45.070221,7.692130,14.682160
1645616527,45.070221,7.692130,13.985335
1645616565,45.070538,7.692051,13.985335
1645616601,45.070232,7.692090,13.985335
1645616601,45.070232,7.692090,5.411135
1645616901,45.070541,7.692293,25.195896
1645616901,45.070541,7.692293,23.985792
1645617020,45.070938,7.692710,25.486828
1645617020,45.070938,7.692710,30.462536
1645617508,45.070641,7.692443,103.241722
1645617508,45.070641,7.692443,7.314822
1645617516,45.071011,7.692992,7.314822
1645617583,45.070480,7.693775,7.314822
1645617583,45.070480,7.693775,17.635965
1645617617,45.069897,7.693475,17.635965
1645617617,45.069897,7.693475,13.477487
1645617633,45.068504,7.693567,13.477487
1645617682,45.069157,7.692956,13.477487
1645617682,45.069157,7.692956,19.362514
1645617709,45.068615,7.692590,19.362514
1645617740,45.068344,7.692637,19.362514
1645617740,45.068344,7.692637,9.045164
1645617771,45.068035,7.693308,9.045164
1645617806,45.067776,7.693809,9.045164
1645617806,45.067776,7.693809,7.320437
1645617839,45.067245,7.693334,7.320437
1645617839,45.067245,7.693334,5.574907
1645617900,45.068127,7.693298,5.574907
1645617900,45.068127,7.693298,2.424556
1645617931,45.067204,7.693277,2.424556
1645618173,45.067154,7.692107,11.213640
1645618173,45.067154,7.692107,2.734104
1645618211,45.067150,7.693462,2.734104
1645618211,45.067150,7.693462,11.409519
1645618228,45.067390,7.689689,11.409519
1645618241,45.067150,7.693469,11.409519
1645618309,45.066803,7.693052,11.409519
1645618309,45.066803,7.693052,14.088551
1645618332,45.067150,7.693464,14.088551
1645618332,45.067150,7.693464,11.512403
1645618336,45.066940,7.693195,11.512403
1645618372,45.067146,7.693464,11.512403
1645618405,45.068016,7.688295,11.512403
1645618405,45.068016,7.688295,5.777744
1645618408,45.067127,7.693457,5.777744
1645618982,45.066280,7.693867,8.676640
1645618982,45.066280,7.693867,20.411448
1645619004,45.066006,7.694054,20.411448
1645619036,45.067150,7.693461,20.411448
1645619036,45.067150,7.693461,7.974225
1645619066,45.065918,7.694232,7.974225
1645619099,45.067162,7.693463,7.974225
1645619099,45.067162,7.693463,8.525541
1645619145,45.066483,7.693388,8.525541
1645619160,45.067108,7.693453,8.525541
1645619160,45.067108,7.693453,11.356794
1645619227,45.066654,7.693649,11.356794
1645619227,45.066654,7.693649,16.345011
1645619253,45.067154,7.693466,16.345011
1645619267,45.066822,7.693253,16.345011
1645619285,45.067154,7.693458,16.345011
1645619285,45.067154,7.693458,7.880215
1645619471,45.066975,7.691257,10.898509
1645619471,45.066975,7.691257,11.307776
1645619514,45.067150,7.693457,11.307776
1645619530,45.067127,7.693062,11.307776
1645619530,45.067127,7.693062,6.112651
1645619545,45.067150,7.693450,6.112651
1645620390,45.067337,7.693802,40.550831
1645620390,45.067337,7.693802,20.746393
1645620414,45.067150,7.693484,20.746393
1645620506,45.067524,7.693469,2.000000
1645620506,45.067524,7.693469,2.000000
1645620571,45.067944,7.693622,2.000000
1645620571,45.067944,7.693622,9.521997
1645620602,45.068123,7.693203,9.521997
1645620602,45.068123,7.693203,9.703784
1645620633,45.068314,7.692708,9.703784
1645620666,45.067719,7.693365,9.703784
1645620666,45.067719,7.693365,2.000000
1645620669,45.068462,7.692762,2.000000
1645620697,45.067749,7.693292,2.000000
1645620702,45.068733,7.692911,2.000000
1645620728,45.068077,7.693277,2.000000
1645620728,45.068077,7.693277,22.177759
1645620737,45.068989,7.693231,22.177759
1645620759,45.068371,7.693415,22.177759
1645620796,45.069977,7.693620,22.177759
1645620796,45.069977,7.693620,21.318798
1645620820,45.068523,7.693362,21.318798
1645620849,45.070671,7.693534,21.318798
1645620849,45.070671,7.693534,14.493644
1645620890,45.071087,7.693097,14.493644
1645620921,45.070976,7.692664,14.493644
1645620921,45.070976,7.692664,10.213516
1645620941,45.070553,7.693262,10.213516
1645620952,45.070896,7.692739,10.213516
1645621011,45.070400,7.692961,10.213516
1645621011,45.070400,7.692961,3.958025
1645621044,45.071018,7.692845,3.958025
1645621044,45.071018,7.692845,8.020805
1645621096,45.070728,7.692544,8.020805
1645621096,45.070728,7.692544,2.848426
1645621140,45.071041,7.692838,2.848426
1645621140,45.071041,7.692838,10.573179
1645621166,45.070858,7.691825,10.573179
1645621171,45.071011,7.692795,10.573179
1645621235,45.070534,7.692262,10.573179
1645621235,45.070534,7.692262,2.000000
1645621266,45.070175,7.692442,2.000000
1645621266,45.070175,7.692442,7.270927
1645621615,45.070499,7.692441,2.000000
1645621646,45.070778,7.692514,5.077201
1645621679,45.070492,7.692336,5.077201
1645621679,45.070492,7.692336,11.663254
1645621708,45.070778,7.692310,11.663254
1645622221,45.070480,7.692346,2.000000
1645622221,45.070480,7.692346,2.000000
1645622239,45.070786,7.692300,2.000000
1645623387,45.070477,7.692320,2.000000
1645623387,45.070477,7.692320,2.000000
1645623416,45.070847,7.692407,2.000000
1645623416,45.070847,7.692407,2.000000
1645625753,45.070972,7.692157,9.472217
1645625753,45.070972,7.692157,15.921913
1645626342,45.070675,7.692411,2.000000
1645626342,45.070675,7.692411,16.783461
1645627221,45.070961,7.692299,5.231915
1645627221,45.070961,7.692299,2.000000
1645627560,45.070595,7.692107,2.000000
1645627560,45.070595,7.692107,2.000000
1645627727,45.070732,7.692443,2.000000
1645627727,45.070732,7.692443,2.000000
1645633528,45.057739,7.680952,2.000000
1645633528,45.057739,7.680952,2.000000
1645634770,45.058598,7.679640,15.097342
1645634770,45.058598,7.679640,3.832378
1645634808,45.057735,7.680933,3.832378
1645636143,45.054321,7.678500,7.950447
1645636143,45.054321,7.678500,3.004278
1645636198,45.057735,7.680931,3.004278
1645636215,45.058601,7.681823,3.004278
1645636215,45.058601,7.681823,2.000000
1645636228,45.057743,7.680939,2.000000
1645637096,45.058075,7.680326,16.339571
1645637096,45.058075,7.680326,4.119513
1645637107,45.057751,7.680903,4.119513
1645637107,45.057751,7.680903,10.359909
1645637188,45.058537,7.682218,10.359909
1645637188,45.058537,7.682218,8.428100
1645637199,45.057747,7.680944,8.428100
1645637345,45.060188,7.680720,9.611454
1645637345,45.060188,7.680720,8.451986
1645637385,45.057735,7.680936,8.451986
1645637458,45.058369,7.680021,8.451986
1645637458,45.058369,7.680021,4.893565
1645637479,45.057735,7.680931,4.893565
1645637479,45.057735,7.680931,7.376056
1645639750,45.057739,7.680947,3.340595
